场景,API实例,API连接池,worker连接池,批量,并发,总请求,吞吐req/s,p50ms,p95ms,最大延迟ms,错误率,队列清空秒
Caddy矩阵,3,12,6,50,100,1000,582.32,153.9,272.0,455.4,0.00%,6
Caddy矩阵,3,12,6,50,150,1500,602.51,233.1,372.3,610.6,0.00%,10
Caddy矩阵,3,12,6,50,200,2000,633.98,290.5,496.9,735.0,0.00%,14
Caddy矩阵,3,12,6,50,250,2500,542.28,415.2,764.7,1288.8,0.00%,17
Caddy矩阵,3,12,6,50,300,3000,638.77,426.2,704.0,1242.9,0.00%,21
Caddy矩阵,4,12,6,50,100,1000,571.97,149.5,281.5,502.0,0.00%,7
Caddy矩阵,4,12,6,50,150,1500,588.91,204.7,404.1,855.3,0.00%,9
Caddy矩阵,4,12,6,50,200,2000,562.83,302.7,596.9,1264.2,0.00%,13
Caddy矩阵,4,12,6,50,250,2500,624.99,353.2,685.2,1514.0,0.00%,17
Caddy矩阵,4,12,6,50,300,3000,583.04,405.3,891.7,2376.5,0.00%,20
批量对照,4,12,6,20,200,2000,585.90,282.0,623.4,1460.5,0.00%,15
批量对照,4,12,6,50,200,2000,600.90,274.3,581.5,1288.0,0.00%,13
Caddy重复2,3,12,6,50,200,2000,612.20,286.6,574.8,1038.3,0.00%,13
Caddy重复3,3,12,6,50,200,2000,644.53,275.6,501.8,932.7,0.00%,13
Node代理A/B,3,12,6,50,200,2000,593.37,314.7,482.2,710.2,0.00%,26
连接池16矩阵,3,16,6,50,100,1000,595.80,151.1,297.5,513.7,0.00%,6
连接池16矩阵,3,16,6,50,150,1500,661.38,209.2,340.2,499.6,0.00%,10
连接池16矩阵,3,16,6,50,200,2000,704.33,259.7,413.2,858.1,0.00%,12
连接池16矩阵,3,16,6,50,250,2500,654.98,341.0,727.3,1032.7,0.00%,16
连接池16矩阵,3,16,6,50,300,3000,687.86,369.5,880.8,1662.6,0.00%,19
连接池16重复2,3,16,6,50,200,2000,700.34,261.2,451.0,641.0,0.00%,13
连接池16重复3,3,16,6,50,200,2000,648.20,277.6,512.8,759.6,0.00%,13
安全稳定性修复回归1,3,16,6,50,200,2000,575.33,309.2,524.1,1097.4,0.00%,7
安全稳定性修复回归2,3,16,6,50,200,2000,575.02,306.6,576.0,922.4,0.00%,7
同环境旧提交9770bdf复测,3,16,6,50,200,2000,599.97,301.2,589.4,1097.7,0.00%,11
